"stcounty_fips","state_name","county_name","acs_year","med_age","total_pop","med_grossRent","med_hhic","perc_white","perc_black","perc_hispanic","perc_other","edu_percentPop","election_year","DEM","REP","total_votes"
1001,"Alabama","Autauga County",2020,38.6,55639,1011,2.1559,0.757562142,0.195294667,0.02877478,0.014881648,0.252412876,2020,7503,19838,27341
1003,"Alabama","Baldwin County",2020,43.2,218289,1032,8.4047,0.854390281,0.08774148,0.045568031,0.016294912,0.293157237,2020,24578,83544,108122
1005,"Alabama","Barbour County",2020,40.1,25026,587,0.9322,0.462998482,0.476664269,0.044353872,0.008431232,0.137936546,2020,4816,5622,10438
1007,"Alabama","Bibb County",2020,39.9,22374,693,0.7259,0.765978368,0.225484938,0.026816841,0.003039242,0.129659426,2020,1986,7525,9511
1009,"Alabama","Blount County",2020,41,57755,666,2.1205,0.939676219,0.013990131,0.092840447,0.005990823,0.181733183,2020,2640,24711,27351
1011,"Alabama","Bullock County",2020,39.7,10173,559,0.3429,0.261771356,0.686129952,0.080998722,0.013467021,0.105770176,2020,3446,1146,4592
1013,"Alabama","Butler County",2020,41.2,19726,627,0.6649,0.516222245,0.445858258,0.014701409,0.016577106,0.160955085,2020,3965,5458,9423
1015,"Alabama","Calhoun County",2020,39.5,114324,720,4.4572,0.733013191,0.211591617,0.038539589,0.014082782,0.183426052,2020,15216,35101,50317
1017,"Alabama","Chambers County",2020,41.9,33427,734,1.3582,0.568851527,0.400035899,0.025219134,0.013701499,0.168606217,2020,6365,8753,15118
1019,"Alabama","Cherokee County",2020,46.8,26035,626,1.0836,0.920683695,0.048012291,0.016593048,0.006760131,0.175686576,2020,1624,10583,12207
1021,"Alabama","Chilton County",2020,39.5,44147,683,1.714,0.821346864,0.096677011,0.077536412,0.015833465,0.148005527,2020,3073,16085,19158
1023,"Alabama","Choctaw County",2020,46.6,12755,560,0.533,0.568639749,0.423206586,0.005409643,0.00250882,0.181889455,2020,3127,4296,7423
1025,"Alabama","Clarke County",2020,42.9,23866,599,0.9323,0.524595659,0.457093774,0.005866086,0.005321378,0.156666387,2020,5755,7324,13079
1027,"Alabama","Clay County",2020,43.4,13285,482,0.5153,0.83312006,0.153180279,0.030861874,0.003989462,0.156943922,2020,1267,5601,6868
1029,"Alabama","Cleburne County",2020,43.1,14952,659,0.5835,0.933319957,0.02635099,0.02541466,0.001471375,0.155564473,2020,675,6484,7159
1031,"Alabama","Coffee County",2020,39.5,52238,802,1.9951,0.746850951,0.170488916,0.076783185,0.026149546,0.237221946,2020,5076,16899,21975
1033,"Alabama","Colbert County",2020,42.5,54957,712,2.1797,0.787506596,0.162108558,0.028949906,0.011863821,0.182287971,2020,8343,19203,27546
1035,"Alabama","Conecuh County",2020,45.2,12219,545,0.4585,0.505442344,0.480563058,0.004828546,0.007365578,0.148048122,2020,2966,3442,6408
1037,"Alabama","Coosa County",2020,49,10696,611,0.4016,0.659311892,0.322643979,0.012808527,0.002991773,0.143511593,2020,1796,3631,5427
1039,"Alabama","Covington County",2020,43.3,37096,611,1.4995,0.842678456,0.126886996,0.017710804,0.009569765,0.184467328,2020,2721,14586,17307
1041,"Alabama","Crenshaw County",2020,42.3,13826,540,0.5011,0.715318964,0.236293939,0.022059887,0.021336612,0.189570375,2020,1700,4864,6564
1043,"Alabama","Cullman County",2020,41.2,83345,721,3.1733,0.939408483,0.011314416,0.044105825,0.007186994,0.18435419,2020,4478,36880,41358
1045,"Alabama","Dale County",2020,37.8,49293,753,1.9405,0.715842006,0.206783925,0.066642322,0.022173534,0.192826568,2020,5170,14303,19473
1047,"Alabama","Dallas County",2020,39.6,38184,674,1.5409,0.272208255,0.714697255,0.00282841,0.008092395,0.190289126,2020,12230,5524,17754
1049,"Alabama","DeKalb County",2020,39.6,71430,630,2.6365,0.847739045,0.015301694,0.147417052,0.014251715,0.165434691,2020,4281,24767,29048
1051,"Alabama","Elmore County",2020,38.7,81526,900,2.9794,0.749122979,0.21134362,0.029769644,0.012143365,0.241849226,2020,10367,30164,40531
1053,"Alabama","Escambia County",2020,39.4,36775,606,1.2931,0.618817131,0.320163154,0.024146839,0.041794697,0.140095173,2020,4918,10869,15787
1055,"Alabama","Etowah County",2020,41.3,102721,676,3.8765,0.791444787,0.160814244,0.040760896,0.013045044,0.189639898,2020,11567,35528,47095
1057,"Alabama","Fayette County",2020,43.9,16406,540,0.6805,0.846275753,0.122089479,0.005424845,0.006826771,0.143118371,2020,1395,7300,8695
1059,"Alabama","Franklin County",2020,39.2,31587,561,1.1017,0.823661633,0.039288315,0.176781587,0.019153449,0.149650173,2020,2086,10376,12462
1061,"Alabama","Geneva County",2020,43.6,26383,658,1.0572,0.859568662,0.101504757,0.040745935,0.013796763,0.172649054,2020,1595,10848,12443
1063,"Alabama","Greene County",2020,44.6,8221,559,0.3178,0.173944776,0.789320034,0.026882374,0.004622309,0.129546284,2020,3884,875,4759
1065,"Alabama","Hale County",2020,40.8,14754,612,0.549,0.384167006,0.591432832,0.000677782,0.00189779,0.172224481,2020,4687,3190,7877
1067,"Alabama","Henry County",2020,44.7,17123,624,0.6556,0.700461368,0.265899667,0.026455644,0.00835134,0.20060737,2020,2606,6607,9213
1069,"Alabama","Houston County",2020,40.2,105319,769,3.9784,0.682279551,0.272287052,0.033716613,0.012362442,0.219143744,2020,12917,32618,45535
1071,"Alabama","Jackson County",2020,43,51765,574,2.0367,0.9120255,0.036858881,0.029769149,0.015724911,0.179909205,2020,3717,19670,23387
1073,"Alabama","Jefferson County",2020,37.9,658615,934,26.3801,0.51417596,0.428988104,0.039107825,0.01785717,0.289993395,2020,181688,138843,320531
1075,"Alabama","Lamar County",2020,44.3,13854,449,0.5631,0.874260141,0.110076512,0.017323517,0.002381984,0.14551754,2020,978,6174,7152
1077,"Alabama","Lauderdale County",2020,41.3,92870,669,3.8513,0.859427156,0.102444277,0.027586949,0.010584688,0.228803704,2020,11915,31721,43636
1079,"Alabama","Lawrence County",2020,42.6,32969,581,1.2551,0.782492645,0.106766963,0.022596985,0.061542661,0.165519124,2020,3562,12322,15884
1081,"Alabama","Lee County",2020,32.4,163461,856,6.0731,0.696765589,0.227093925,0.037274946,0.045796857,0.282238577,2020,27860,42221,70081
